18335723|110000|{23008613}|管庄|guanzhuang|33|2018-02-22 15:46:35|2018-02-22 15:52:50
18335734|110000|{23008613}|国展|guozhan1|27|2018-02-22 15:46:35|2018-02-22 15:52:51
18335641|110000|{23008614,23008613}|和平里|hepingli|70|2018-02-22 15:46:35|2018-02-22 15:52:52
18335743|110000|{23008613}|红庙|hongmiao|28|2018-02-22 15:46:35|2018-02-22 15:52:52
611100356|110000|{23008618}|马连洼|malianwa|45|2018-02-22 15:46:36|2018-02-22 15:53:16
611100333|110000|{23008613}|欢乐谷|huanlegu|9|2018-02-22 15:46:35|2018-02-22 15:52:52
18335718|110000|{23008613}|华威桥|huaweiqiao|14|2018-02-22 15:46:35|2018-02-22 15:52:52
611100324|110000|{23008613}|惠新西街|huixinxijie|55|2018-02-22 15:46:35|2018-02-22 15:52:54
611100446|110000|{23008614,23008613}|建国门外|jianguomenwai|50|2018-02-22 15:46:35|2018-02-22 15:52:55
611100481|110000|{23008613}|健翔桥|jianxiangqiao1|33|2018-02-22 15:46:35|2018-02-22 15:52:56
18335737|110000|{23008613}|劲松|jinsong|44|2018-02-22 15:46:35|2018-02-22 15:52:57
18335710|110000|{23008613}|酒仙桥|jiuxianqiao|68|2018-02-22 15:46:35|2018-02-22 15:52:58
611100318|110000|{23008613}|南沙滩|nanshatan1|26|2018-02-22 15:46:35|2018-02-22 15:52:58
611100327|110000|{23008613}|农展馆|nongzhanguan|30|2018-02-22 15:46:35|2018-02-22 15:52:58
611100368|110000|{23008613}|潘家园|panjiayuan1|24|2018-02-22 15:46:35|2018-02-22 15:52:58
611100698|110000|{23008613}|三里屯|sanlitun|24|2018-02-22 15:46:35|2018-02-22 15:52:59
18335709|110000|{23008613}|三元桥|sanyuanqiao|14|2018-02-22 15:46:35|2018-02-22 15:52:59
18335707|110000|{23008613}|芍药居|shaoyaoju|32|2018-02-22 15:46:35|2018-02-22 15:53:00
18335716|110000|{23008613}|十八里店|shibalidian1|21|2018-02-22 15:46:35|2018-02-22 15:53:00
18335728|110000|{23008613}|石佛营|shifoying|29|2018-02-22 15:46:35|2018-02-22 15:53:00
18335741|110000|{23008613}|十里堡|shilibao|21|2018-02-22 15:46:35|2018-02-22 15:53:00
611100316|110000|{23008613}|双井|shuangjing|41|2018-02-22 15:46:35|2018-02-22 15:53:01
18335714|110000|{23008613}|双桥|shuangqiao|54|2018-02-22 15:46:35|2018-02-22 15:53:01
18335727|110000|{23008613}|四惠|sihui|22|2018-02-22 15:46:36|2018-02-22 15:53:01
18335740|110000|{23008613}|太阳宫|taiyanggong|15|2018-02-22 15:46:36|2018-02-22 15:53:02
611100319|110000|{23008613}|甜水园|tianshuiyuan|21|2018-02-22 15:46:36|2018-02-22 15:53:03
18335730|110000|{23008613}|团结湖|tuanjiehu|24|2018-02-22 15:46:36|2018-02-22 15:53:04
18335711|110000|{23008613}|望京|wangjing|126|2018-02-22 15:46:36|2018-02-22 15:53:07
611100321|110000|{23008613}|西坝河|xibahe|18|2018-02-22 15:46:36|2018-02-22 15:53:07
18335722|110000|{23008613}|燕莎|yansha1|50|2018-02-22 15:46:36|2018-02-22 15:53:07
18335706|110000|{23008613}|亚运村|yayuncun|49|2018-02-22 15:46:36|2018-02-22 15:53:08
611100315|110000|{23008613}|亚运村小营|yayuncunxiaoying|67|2018-02-22 15:46:36|2018-02-22 15:53:09
613000370|110000|{23008613}|朝阳其它|zhaoyangqita|13|2018-02-22 15:46:36|2018-02-22 15:53:10
18335761|110000|{23008618}|白石桥|baishiqiao1|44|2018-02-22 15:46:36|2018-02-22 15:53:11
18335632|110000|{23008618}|北太平庄|beitaipingzhuang|26|2018-02-22 15:46:36|2018-02-22 15:53:11
18335760|110000|{23008618}|厂洼|changwa|18|2018-02-22 15:46:36|2018-02-22 15:53:11
18335634|110000|{23008618}|定慧寺|dinghuisi|63|2018-02-22 15:46:36|2018-02-22 15:53:12
18335757|110000|{23008618}|二里庄|erlizhuang|15|2018-02-22 15:46:36|2018-02-22 15:53:12
611100353|110000|{23008618}|甘家口|ganjiakou|64|2018-02-22 15:46:36|2018-02-22 15:53:13
18335624|110000|{23008618}|公主坟|gongzhufen|78|2018-02-22 15:46:36|2018-02-22 15:53:14
611100537|110000|{23008618}|海淀北部新区|haidianbeibuxinqu1|88|2018-02-22 15:46:36|2018-02-22 15:53:14
611100398|110000|{23008618}|海淀其它|haidianqita1|10|2018-02-22 15:46:36|2018-02-22 15:53:15
18335640|110000|{23008618}|军博|junbo1|47|2018-02-22 15:46:36|2018-02-22 15:53:15
611100601|110000|{23008626,23008613,23008618}|马甸|madian1|65|2018-02-22 15:46:35|2018-02-22 15:53:16
18335768|110000|{23008618}|牡丹园|mudanyuan|40|2018-02-22 15:46:36|2018-02-22 15:53:17
